,location,total_sqft,bath,price,BHK,price_per_sqft
1161,Bannerghatta Road,1012.0,2.0,44.0,2,4347.826086956522
1162,Bannerghatta Road,1527.0,3.0,115.0,3,7531.106745252128
1165,Bannerghatta Road,1550.0,3.0,96.0,3,6193.548387096775
1166,Bannerghatta Road,1200.0,2.0,78.0,2,6500.0
1167,Bannerghatta Road,1885.0,3.0,125.0,3,6631.29973474801
1169,Bannerghatta Road,1450.0,2.0,78.0,3,5379.310344827586
1170,Bannerghatta Road,700.0,1.0,31.2,1,4457.142857142857
1173,Bannerghatta Road,905.0,2.0,58.0,2,6408.839779005525
1175,Bannerghatta Road,1920.0,3.0,122.0,3,6354.166666666667
1176,Bannerghatta Road,2400.0,4.0,180.0,4,7500.0
1178,Bannerghatta Road,1270.0,2.0,45.0,2,3543.3070866141734
1179,Bannerghatta Road,1520.0,2.0,80.0,3,5263.1578947368425
1180,Bannerghatta Road,1270.0,2.0,73.0,3,5748.031496062992
1181,Bannerghatta Road,1846.0,3.0,120.0,3,6500.541711809317
1183,Bannerghatta Road,1122.5,2.0,61.74,2,5500.22271714922
1184,Bannerghatta Road,1655.0,3.0,95.0,3,5740.181268882176
1185,Bannerghatta Road,1206.0,2.0,53.0,2,4394.69320066335
1186,Bannerghatta Road,1150.0,2.0,55.0,2,4782.608695652174
1187,Bannerghatta Road,1215.0,2.0,65.0,2,5349.794238683127
1188,Bannerghatta Road,1510.0,2.0,110.0,3,7284.76821192053
1189,Bannerghatta Road,1022.0,2.0,35.0,2,3424.6575342465753
1190,Bannerghatta Road,1246.0,2.0,47.35,2,3800.1605136436597
1191,Bannerghatta Road,1470.0,2.0,85.0,3,5782.312925170068
1192,Bannerghatta Road,1160.0,2.0,45.0,2,3879.310344827586
1193,Bannerghatta Road,970.0,2.0,57.0,2,5876.288659793814
1194,Bannerghatta Road,1527.0,3.0,142.0,3,9299.279633267846
1195,Basapura,1100.0,2.0,60.0,2,5454.545454545455
1196,Basapura,1045.0,2.0,42.0,2,4019.1387559808613
1197,Basapura,1100.0,2.0,60.0,2,5454.545454545455
1198,Basapura,1301.0,2.0,55.0,2,4227.517294388932
1199,Basapura,1540.0,2.0,70.0,3,4545.454545454545
1200,Basapura,1440.0,3.0,72.0,3,5000.0
1201,Basapura,1294.0,2.0,52.0,3,4018.5471406491497
1202,Basapura,1100.0,2.0,60.0,2,5454.545454545455
1203,Basava Nagar,1405.0,2.0,70.0,2,4982.20640569395
1204,Basava Nagar,1182.0,2.0,60.1,3,5084.602368866328
1205,Basavanagara,2400.0,2.0,80.0,3,3333.3333333333335
1206,Basavanagara,2000.0,3.0,25.0,4,1250.0
1207,Basavanagara,1428.0,2.0,70.0,3,4901.9607843137255
1208,Basavanapura,1220.0,2.0,68.0,2,5573.770491803279
1209,Basavanapura,1095.0,2.0,38.52,2,3517.8082191780827
1210,Basavanapura,1165.0,2.0,65.0,2,5579.399141630901
1213,Basavangudi,1036.0,2.0,105.0,2,10135.135135135135
1214,Basavangudi,2600.0,4.0,260.0,4,10000.0
1215,Basavangudi,1600.0,2.0,160.0,3,10000.0
1216,Basavangudi,1560.0,2.0,145.0,2,9294.871794871795
1218,Basavangudi,1800.0,3.0,195.0,3,10833.333333333334
1219,Basavangudi,1100.0,2.0,93.0,2,8454.545454545454
1221,Basavangudi,1050.0,2.0,103.0,2,9809.52380952381
1224,Basavangudi,1180.0,2.0,124.0,2,10508.474576271186
1226,Basavangudi,1200.0,2.0,120.0,2,10000.0
1228,Basavangudi,2453.0,3.0,250.0,4,10191.602119853242
1229,Basavanna Nagar,1645.0,3.0,95.0,3,5775.075987841945
1230,Basavanna Nagar,1645.0,3.0,95.0,3,5775.075987841945
1231,Basaveshwara Nagar,4500.0,5.0,415.0,5,9222.222222222223
1232,Basaveshwara Nagar,1865.0,3.0,145.0,3,7774.798927613941
1233,Basaveshwara Nagar,1200.0,2.0,90.0,2,7500.0
1234,Basaveshwara Nagar,2400.0,4.0,310.0,5,12916.666666666666
1235,Basaveshwara Nagar,1200.0,2.0,80.0,2,6666.666666666667
1236,Basaveshwara Nagar,900.0,2.0,60.0,2,6666.666666666667
1237,Basaveshwara Nagar,1900.0,3.0,150.0,3,7894.736842105263
1238,Basaveshwara Nagar,1200.0,2.0,85.0,2,7083.333333333333
1239,Basaveshwara Nagar,1200.0,2.0,70.0,2,5833.333333333333
1240,Basaveshwara Nagar Yelahanka,581.91,2.0,25.0,1,4296.197006409926
1241,Basaveshwara Nagar Yelahanka,1680.0,3.0,85.0,3,5059.523809523809
1242,Basaveshwara Nagar Yelahanka,3210.0,4.0,380.0,3,11838.006230529594
1243,Basaveshwara Nagar Yelahanka,1950.0,4.0,95.0,3,4871.794871794872
1244,Basaveshwara Nagar Yelahanka,1055.0,2.0,43.0,2,4075.829383886256
1245,Battarahalli,1200.0,2.0,65.0,2,5416.666666666667
1246,Battarahalli,1779.0,3.0,89.61,3,5037.099494097808
1247,Battarahalli,1300.0,2.0,50.0,2,3846.153846153846
1248,Battarahalli,1945.0,3.0,97.42,3,5008.740359897172
1249,Battarahalli,1777.0,3.0,100.0,3,5627.462014631401
1250,Battarahalli,1135.0,2.0,43.0,2,3788.546255506608
1251,Battarahalli,1276.0,2.0,45.0,2,3526.6457680250783
1252,Battarahalli,1880.0,3.0,94.36,3,5019.148936170212
1253,Battarahalli,1071.0,2.0,62.0,2,5788.9822595704945
1254,Battarahalli,1165.0,2.0,43.0,2,3690.987124463519
1255,Battarahalli,1636.0,2.0,82.89,2,5066.6259168704155
1256,Battarahalli,1779.0,3.0,90.0,3,5059.02192242833
1258,Battarahalli,1090.0,2.0,38.37,2,3520.1834862385317
1259,Battarahalli,2082.0,3.0,104.0,3,4995.1969260326605
1260,Battarahalli,2024.0,3.0,103.0,3,5088.932806324111
1261,Battarahalli,1097.0,2.0,49.0,2,4466.727438468551
1263,Begur,1419.0,2.0,59.0,3,4157.85764622974
1264,Begur,1580.0,3.0,75.0,3,4746.835443037975
1265,Begur,1559.0,3.0,63.0,3,4041.0519563822963
1266,Begur,1445.0,2.0,47.1,3,3259.515570934256
1267,Begur,1475.0,2.0,74.0,3,5016.949152542373
1268,Begur,3500.0,4.0,185.0,3,5285.714285714285
1269,Begur,1100.0,2.0,55.0,2,5000.0
1270,Begur,1306.0,2.0,65.0,2,4977.029096477795
1271,Begur,1304.0,3.0,65.0,3,4984.662576687117
1272,Begur,1411.0,2.0,60.0,3,4252.303330970943
1273,Begur,815.0,2.0,40.0,2,4907.9754601227
1274,Begur,1443.0,2.0,70.0,3,4851.004851004851
1275,Begur Road,1200.0,2.0,44.0,2,3666.6666666666665
1276,Begur Road,1200.0,2.0,46.8,2,3900.0
1277,Begur Road,1160.0,2.0,44.0,2,3793.103448275862
1278,Begur Road,1584.0,3.0,65.0,3,4103.535353535353
1280,Begur Road,1615.0,3.0,59.76,3,3700.30959752322
1281,Begur Road,1200.0,2.0,43.2,2,3600.0
1282,Begur Road,1160.0,2.0,44.08,2,3800.0
1283,Begur Road,1200.0,2.0,45.0,2,3750.0
1284,Begur Road,1615.0,3.0,60.0,3,3715.170278637771
1285,Begur Road,1410.0,2.0,53.0,3,3758.8652482269504
1286,Begur Road,1200.0,2.0,37.8,2,3149.9999999999995
1287,Begur Road,1160.0,2.0,40.59,2,3499.1379310344832
1288,Begur Road,1260.0,2.0,46.62,2,3700.0
1289,Begur Road,1600.0,3.0,58.14,3,3633.75
1291,Begur Road,1500.0,2.0,70.0,3,4666.666666666667
1292,Begur Road,1160.0,2.0,42.0,2,3620.689655172414
1293,Begur Road,1240.0,2.0,39.06,2,3150.0
1294,Begur Road,1200.0,2.0,45.0,2,3750.0
1295,Begur Road,1500.0,2.0,55.0,3,3666.6666666666665
1296,Begur Road,1410.0,2.0,52.17,3,3700.0
1298,Begur Road,1583.0,3.0,74.4,3,4699.936828806065
1299,Begur Road,1170.0,2.0,46.0,2,3931.6239316239316
1300,Begur Road,1160.0,2.0,42.92,2,3700.0
1301,Begur Road,1410.0,2.0,52.17,3,3700.0
1303,Begur Road,1565.0,2.0,59.76,3,3818.5303514376997
1304,Begur Road,1160.0,2.0,42.0,2,3620.689655172414
1306,Begur Road,1410.0,2.0,53.58,3,3800.0
1307,Begur Road,1200.0,2.0,45.0,2,3750.0
1308,Begur Road,1200.0,2.0,42.6,2,3550.0
1309,Begur Road,1160.0,2.0,42.0,2,3620.689655172414
1310,Begur Road,1334.0,2.0,42.69,2,3200.1499250374814
1311,Begur Road,1565.0,2.0,57.91,3,3700.3194888178914
1312,Begur Road,1200.0,2.0,45.6,2,3800.0
1313,Begur Road,1215.0,2.0,43.13,2,3549.794238683128
1314,Begur Road,1160.0,2.0,36.54,2,3150.0
1316,Begur Road,1200.0,2.0,44.4,2,3700.0
1318,Begur Road,1260.0,2.0,39.69,2,3150.0
1320,Begur Road,1160.0,2.0,44.0,2,3793.103448275862
1322,Begur Road,952.0,2.0,42.0,2,4411.764705882353
1325,Begur Road,1200.0,2.0,42.0,2,3500.0
1326,Begur Road,1240.0,2.0,45.88,2,3700.0
1327,Begur Road,1200.0,3.0,50.0,3,4166.666666666667
1329,Begur Road,1200.0,2.0,44.0,2,3666.6666666666665
1331,Begur Road,1100.0,2.0,42.6,2,3872.7272727272725
1332,Begur Road,1565.0,2.0,57.91,3,3700.3194888178914
1333,Begur Road,1200.0,2.0,44.4,2,3700.0
1334,Begur Road,1160.0,2.0,36.54,2,3150.0
1335,Begur Road,1215.0,2.0,43.75,2,3600.8230452674898
1336,Begur Road,1200.0,2.0,44.73,2,3727.5
1337,Begur Road,1160.0,2.0,42.0,2,3620.689655172414
1338,Begur Road,1410.0,2.0,54.99,3,3900.0
1339,Belathur,1254.0,2.0,53.0,2,4226.475279106858
1340,Belathur,1050.0,2.0,38.0,2,3619.0476190476193
1341,Belatur,1260.0,2.0,58.0,2,4603.174603174603
1342,Belatur,1275.0,2.0,59.0,2,4627.450980392156
1343,Bellandur,1767.0,3.0,103.0,3,5829.088851160159
1344,Bellandur,1205.0,2.0,66.0,2,5477.178423236514
1345,Bellandur,1250.0,2.0,76.0,2,6080.0
1346,Bellandur,1000.0,2.0,50.0,2,5000.0
1347,Bellandur,1281.0,2.0,74.0,2,5776.736924277908
1348,Bellandur,921.0,2.0,40.0,2,4343.105320304017
1350,Bellandur,1490.0,2.0,98.0,3,6577.181208053691
1352,Bellandur,2039.0,3.0,168.0,3,8239.333006375675
1353,Bellandur,1605.0,3.0,85.0,3,5295.95015576324
1354,Bellandur,1692.0,3.0,88.0,3,5200.945626477542
1355,Bellandur,1220.0,2.0,60.0,2,4918.0327868852455
1356,Bellandur,1299.0,2.0,82.0,2,6312.548113933795
1357,Bellandur,900.0,2.0,56.0,2,6222.222222222223
1358,Bellandur,1350.0,2.0,79.0,2,5851.851851851852
1359,Bellandur,1286.0,2.0,57.0,2,4432.348367029549
1360,Bellandur,3016.0,4.0,230.0,4,7625.994694960213
1361,Bellandur,1457.0,2.0,85.0,2,5833.905284831846
1362,Bellandur,1195.0,2.0,51.0,2,4267.782426778243
1363,Bellandur,1050.0,2.0,72.0,2,6857.142857142857
1364,Bellandur,3600.0,4.0,260.0,4,7222.222222222223
1365,Bellandur,1310.0,2.0,72.0,2,5496.18320610687
1366,Bellandur,924.0,2.0,35.11,2,3799.78354978355
1367,Bellandur,1785.0,3.0,118.0,3,6610.644257703081
1368,Bellandur,1051.0,2.0,60.0,2,5708.848715509039
1370,Bellandur,1060.0,2.0,65.0,2,6132.075471698113
1371,Bellandur,1100.0,2.0,62.0,2,5636.363636363636
1372,Bellandur,1550.0,2.0,59.0,2,3806.451612903226
1373,Bellandur,924.0,2.0,35.11,2,3799.78354978355
1375,Bellandur,1685.0,3.0,100.0,3,5934.718100890208
1376,Bellandur,982.0,2.0,55.0,2,5600.814663951121
1377,Bellandur,981.0,2.0,37.28,2,3800.2038735983692
1378,Bellandur,1205.0,2.0,59.0,2,4896.265560165975
1379,Bellandur,1063.0,2.0,58.0,2,5456.255879586077
1380,Bellandur,1201.0,2.0,59.99,2,4995.004163197335
1381,Bellandur,1325.0,2.0,65.0,2,4905.66037735849
1382,Bellandur,1281.0,2.0,87.0,2,6791.569086651054
1384,Bellandur,1200.0,2.0,52.0,2,4333.333333333333
1385,Bellandur,1785.0,3.0,120.0,3,6722.689075630252
1386,Bellandur,1088.0,2.0,48.0,2,4411.764705882353
1387,Bellandur,1310.0,2.0,85.0,2,6488.5496183206105
1388,Bellandur,982.0,2.0,37.28,2,3796.3340122199593
1389,Bellandur,1465.0,3.0,90.0,2,6143.344709897611
1390,Bellandur,1767.0,3.0,109.0,3,6168.647425014148
1391,Bellandur,924.0,2.0,35.11,2,3799.78354978355
1392,Bellandur,3600.0,4.0,245.0,4,6805.555555555556
1393,Bellandur,1170.0,2.0,46.79,2,3999.1452991452993
1394,Bellandur,1150.0,2.0,69.44,2,6038.260869565217
1395,Bellandur,1200.0,2.0,45.0,2,3750.0
1397,Bellandur,1410.0,3.0,92.0,2,6524.822695035461
1398,Bellandur,950.0,2.0,35.0,2,3684.2105263157896
1399,Bellandur,1015.0,2.0,60.0,2,5911.330049261083
1401,Bellandur,1685.0,3.0,101.0,3,5994.06528189911
1402,Bellandur,1735.0,3.0,105.0,3,6051.873198847262
1403,Bellandur,1685.0,3.0,115.0,3,6824.925816023739
1404,Bellandur,1846.0,3.0,135.0,3,7313.109425785482
1405,Bellandur,1049.0,2.0,51.0,2,4861.773117254528
1407,Bellandur,1211.0,2.0,63.0,2,5202.312138728324
1408,Bellandur,1717.0,3.0,110.0,3,6406.523005241701
1410,Bellandur,1185.0,2.0,47.39,2,3999.15611814346
1411,Bellandur,1200.0,2.0,62.0,2,5166.666666666667
1415,Bellandur,1251.0,2.0,47.0,2,3756.994404476419
1417,Bellandur,960.0,2.0,48.0,2,5000.0
1418,Bellandur,1690.0,2.0,116.0,3,6863.905325443787
1419,Bellandur,950.0,1.0,40.0,1,4210.526315789473
1420,Bellandur,850.0,2.0,45.0,2,5294.117647058823
1421,Bellandur,1454.0,2.0,90.0,2,6189.821182943604
1423,Bellandur,1195.0,2.0,52.0,2,4351.464435146443
1424,Bellandur,1435.0,2.0,115.0,3,8013.937282229966
1426,Bellandur,1260.0,2.0,83.5,2,6626.984126984127
1427,Bellandur,1535.0,3.0,90.0,3,5863.192182410424
1428,Bellandur,1047.0,2.0,75.0,2,7163.323782234957
1429,Bellandur,1096.0,2.0,40.0,2,3649.6350364963505
1430,Bellandur,1262.0,2.0,47.0,2,3724.247226624406
1431,Bellari Road,900.0,2.0,45.0,2,5000.0
1432,Bellari Road,1220.0,2.0,48.79,2,3999.1803278688526
1433,Bellari Road,1025.0,2.0,42.5,2,4146.341463414634
1434,Bellari Road,1050.0,2.0,43.5,2,4142.857142857143
1435,Bendiganahalli,1200.0,3.0,95.0,3,7916.666666666667
1436,Benson Town,3200.0,4.0,350.0,3,10937.5
1437,Benson Town,4460.0,5.0,650.0,4,14573.991031390135
1438,Benson Town,2850.0,4.0,470.0,3,16491.22807017544
1439,Benson Town,1300.0,2.0,120.0,2,9230.76923076923
1440,Benson Town,1567.0,3.0,140.0,2,8934.269304403319
1442,Benson Town,1688.12,2.0,270.0,2,15994.123640499492
1443,Benson Town,1805.0,3.0,280.0,3,15512.465373961219
1444,Benson Town,1688.0,2.0,280.0,2,16587.677725118483
1445,Bethel Nagar,960.0,2.0,33.0,2,3437.5
1446,Bethel Nagar,560.0,1.0,19.0,1,3392.8571428571427
1447,Bettahalsoor,4046.0,4.0,445.0,4,10998.517053880376
1448,Bettahalsoor,3210.0,2.6926096474673513,353.0,5,10996.884735202491
1449,Bhagyalakshmi Avenue,540.0,1.0,22.5,1,4166.666666666667
1450,Bharathi Nagar,1322.0,2.0,68.0,2,5143.721633888048
1451,Bharathi Nagar,1351.0,2.0,70.0,2,5181.347150259067
1452,Bharathi Nagar,1384.0,2.0,59.0,2,4263.005780346821
1453,Bharathi Nagar,1351.0,2.0,74.0,2,5477.424130273871
1454,Bharathi Nagar,1432.0,2.0,68.0,2,4748.6033519553075
1456,Bharathi Nagar,1349.0,2.0,56.7,2,4203.113417346182
1457,Bharathi Nagar,1328.0,2.0,69.0,2,5195.78313253012
1458,Bharathi Nagar,1300.0,2.0,55.86,2,4296.923076923077
1459,Bhoganhalli,1670.0,3.0,99.0,3,5928.143712574851
1462,Bhoganhalli,1444.0,2.0,75.97,2,5261.0803324099725
1463,Bhoganhalli,1447.0,2.0,75.97,2,5250.172771250864
1464,Bhoganhalli,1700.0,3.0,126.0,3,7411.764705882353
1465,Bhoganhalli,1447.0,2.0,75.97,2,5250.172771250864
1470,Bhoganhalli,1760.0,3.0,127.0,3,7215.909090909091
1472,Bhoganhalli,1447.0,2.0,75.97,2,5250.172771250864
1473,Bhoganhalli,1949.0,3.0,129.0,3,6618.778860954336
1474,Bhoganhalli,1760.0,3.0,128.0,3,7272.727272727273
1475,Bhoganhalli,1447.0,2.0,75.97,2,5250.172771250864
1476,Bhoganhalli,2439.0,4.0,185.0,4,7585.075850758508
1480,Bhoganhalli,1444.0,2.0,75.97,2,5261.0803324099725
1481,Bhoganhalli,1205.0,2.0,64.47,2,5350.207468879668
1482,Bhoganhalli,1447.0,2.0,75.97,2,5250.172771250864
1483,Bhoganhalli,2439.0,5.0,170.0,4,6970.069700697007
1485,Bhoganhalli,1205.0,2.0,68.32,2,5669.709543568464
1486,Bhoganhalli,1260.0,2.0,69.9,2,5547.619047619049
1487,Bhoganhalli,2439.0,4.0,170.0,4,6970.069700697007
1488,Bhoganhalli,1707.0,3.0,115.0,3,6736.965436438196
1490,Bhoganhalli,970.0,2.0,52.5,2,5412.371134020618
1492,Bhoganhalli,1277.0,2.0,79.89,2,6256.068911511355
1494,Bhoganhalli,1703.0,3.0,120.0,3,7046.388725778039
1495,Bhoopsandra,2150.0,3.0,170.0,3,7906.976744186047
1496,Bhuvaneshwari Nagar,1100.0,2.0,57.0,2,5181.818181818182
1497,Bhuvaneshwari Nagar,900.0,2.0,45.0,2,5000.0
1498,Bhuvaneshwari Nagar,1280.0,2.0,68.48,2,5350.0
1499,Bhuvaneswari Nagar,2400.0,3.0,185.0,4,7708.333333333333
1500,Bidadi,1600.0,2.0,110.0,2,6875.0
1501,Bidadi,3600.0,4.0,225.0,4,6250.0
1502,Bidrahalli,1800.0,2.0,72.0,3,4000.0
1503,Bikasipura,4200.0,4.0,255.0,4,6071.428571428572
1504,Bikasipura,1450.0,3.0,68.0,3,4689.6551724137935
1505,Bikasipura,1654.0,3.0,82.0,3,4957.678355501814
1506,Bileshivale,2400.0,7.0,110.0,6,4583.333333333333
1507,Bileshivale,5400.0,4.0,250.0,4,4629.62962962963
1508,Bileshivale,2400.0,7.0,107.0,6,4458.333333333333
1510,Billekahalli,1125.0,2.0,62.0,2,5511.111111111111
1512,Billekahalli,1090.0,2.0,52.0,2,4770.642201834862
1513,Billekahalli,1112.0,2.0,62.0,2,5575.5395683453235
1514,Billekahalli,2400.0,3.0,150.0,3,6250.0
1515,Billekahalli,2968.0,3.0,225.0,3,7580.8625336927225
1516,Billekahalli,950.0,2.0,58.11,2,6116.8421052631575
1517,Billekahalli,1360.0,2.0,110.0,2,8088.235294117647
1518,Billekahalli,1125.0,2.0,65.0,2,5777.777777777777
1519,Billekahalli,950.0,2.0,56.0,2,5894.736842105263
1521,Billekahalli,1805.0,3.0,134.0,3,7423.822714681441
1522,Binny Pete,1755.0,3.0,122.0,3,6951.5669515669515
1523,Binny Pete,665.0,1.0,50.75,1,7631.578947368421
1526,Binny Pete,1245.0,2.0,86.28,2,6930.120481927711
1527,Binny Pete,660.0,1.0,54.0,1,8181.818181818182
1528,Binny Pete,665.0,1.0,46.08,1,6929.3233082706765
1529,Binny Pete,660.0,1.0,62.0,1,9393.939393939394
1530,Binny Pete,1365.0,2.0,122.0,2,8937.728937728938
1532,Binny Pete,1795.0,3.0,139.0,3,7743.732590529248
1533,Binny Pete,1740.0,3.0,150.0,3,8620.689655172413
1534,Binny Pete,1970.0,3.0,164.0,3,8324.873096446701
1535,Binny Pete,1516.0,3.0,147.0,3,9696.569920844327
1536,Bisuvanahalli,1180.0,3.0,48.0,3,4067.7966101694915
1538,Bisuvanahalli,1075.0,2.0,46.0,3,4279.069767441861
1541,Bisuvanahalli,1075.0,2.0,45.0,3,4186.046511627907
1543,Bisuvanahalli,845.0,2.0,33.0,2,3905.3254437869823
1544,Bisuvanahalli,1075.0,2.0,45.0,3,4186.046511627907
1545,Bisuvanahalli,845.0,2.0,37.0,2,4378.698224852071
1548,Bisuvanahalli,845.0,2.0,29.0,2,3431.9526627218934
1549,Bisuvanahalli,1075.0,2.0,47.0,3,4372.093023255814
1550,Bisuvanahalli,850.0,1.0,32.0,2,3764.705882352941
1551,Bisuvanahalli,1075.0,2.0,50.0,3,4651.162790697675
1552,Bisuvanahalli,1075.0,2.0,52.0,3,4837.209302325581
1553,Bisuvanahalli,1180.0,2.0,46.0,3,3898.3050847457625
1554,Bisuvanahalli,1075.0,2.0,42.0,3,3906.9767441860463
1555,Bisuvanahalli,845.0,2.0,37.0,2,4378.698224852071
1556,Bisuvanahalli,1075.0,2.0,43.0,3,4000.0
1557,Bisuvanahalli,700.0,1.0,32.0,2,4571.428571428572
1558,Bisuvanahalli,1075.0,2.0,52.0,3,4837.209302325581
1559,Bisuvanahalli,1075.0,2.0,50.0,3,4651.162790697675
1561,Bisuvanahalli,845.0,2.0,33.0,2,3905.3254437869823
1562,Bisuvanahalli,945.0,2.0,33.0,2,3492.063492063492
1563,Bisuvanahalli,845.0,2.0,30.0,2,3550.2958579881656
1566,Bisuvanahalli,1075.0,2.0,43.0,3,4000.0
1567,Bisuvanahalli,1080.0,2.0,45.0,3,4166.666666666667
1568,Bisuvanahalli,1180.0,2.0,55.5,3,4703.389830508475
1569,Bisuvanahalli,1075.0,2.0,47.0,3,4372.093023255814
1570,Bisuvanahalli,1075.0,2.0,48.0,3,4465.116279069767
1572,Bisuvanahalli,1075.0,2.0,45.0,3,4186.046511627907
1573,Bisuvanahalli,1075.0,2.0,44.0,3,4093.0232558139537
1574,Bisuvanahalli,850.0,2.0,27.0,2,3176.470588235294
1575,Bisuvanahalli,1075.0,2.0,42.0,3,3906.9767441860463
1576,Bisuvanahalli,845.0,2.0,32.0,2,3786.98224852071
1578,Bisuvanahalli,845.0,2.0,34.0,2,4023.6686390532545
1579,Bommanahalli,3000.0,8.0,140.0,8,4666.666666666667
1580,Bommanahalli,520.0,1.0,19.5,1,3750.0
1581,Bommanahalli,515.0,1.0,25.0,1,4854.368932038835
1582,Bommanahalli,1090.0,3.0,44.0,2,4036.697247706422
1585,Bommanahalli,1850.0,3.0,90.0,3,4864.864864864865
1586,Bommanahalli,910.0,2.0,45.0,2,4945.054945054945
1587,Bommanahalli,1050.0,2.0,46.0,2,4380.952380952381
1588,Bommanahalli,1100.0,1.0,55.0,2,5000.0
1590,Bommanahalli,1350.0,2.0,72.0,2,5333.333333333333
1591,Bommanahalli,2100.0,4.0,85.0,4,4047.6190476190477
1592,Bommanahalli,1307.0,2.0,50.0,2,3825.554705432288
1593,Bommanahalli,1091.0,2.0,40.0,2,3666.3611365719526
1594,Bommanahalli,1160.0,2.0,53.0,2,4568.9655172413795
1595,Bommanahalli,1050.0,2.0,54.0,2,5142.857142857143
1596,Bommasandra,1260.0,3.0,49.36,3,3917.4603174603176
1597,Bommasandra,1200.0,3.0,46.0,3,3833.3333333333335
1598,Bommasandra,1035.0,2.0,41.0,2,3961.352657004831
1599,Bommasandra,1035.0,2.0,41.73,2,4031.884057971014
1600,Bommasandra,1034.0,2.0,40.0,2,3868.4719535783365
1601,Bommasandra,877.0,2.0,30.0,2,3420.752565564424
1602,Bommasandra,920.0,2.0,37.46,2,4071.7391304347825
1603,Bommasandra,1035.0,2.0,41.43,2,4002.8985507246375
1604,Bommasandra,1295.0,2.0,50.28,3,3882.6254826254826
1606,Bommasandra,1015.0,2.0,40.0,2,3940.886699507389
1607,Bommasandra,1000.0,2.0,35.0,2,3500.0
1608,Bommasandra,955.0,2.0,35.28,2,3694.240837696335
1609,Bommasandra,1005.0,2.0,39.77,2,3957.213930348259
1610,Bommasandra,1014.0,2.0,35.0,2,3451.6765285996057
1611,Bommasandra,1020.0,2.0,40.89,2,4008.823529411765
1612,Bommasandra,920.0,2.0,37.2,2,4043.478260869566
1613,Bommasandra,800.0,1.0,32.0,2,4000.0
1614,Bommasandra,1280.0,3.0,50.0,3,3906.25
1615,Bommasandra,1942.0,3.0,90.0,3,4634.3975283213185
1616,Bommasandra,1127.0,2.0,45.0,2,3992.9015084294588
1618,Bommasandra,877.0,2.0,29.0,2,3306.72748004561
1619,Bommasandra,1365.0,3.0,52.81,3,3868.864468864469
1620,Bommasandra,842.0,2.0,30.0,2,3562.9453681710215
1621,Bommasandra,1260.0,3.0,49.36,3,3917.4603174603176
1622,Bommasandra,1365.0,3.0,52.82,3,3869.5970695970695
1623,Bommasandra,955.0,2.0,37.97,2,3975.916230366492
1624,Bommasandra,1089.0,2.0,40.0,2,3673.094582185491
1625,Bommasandra,1365.0,3.0,53.96,3,3953.1135531135533
1626,Bommasandra Industrial Area,1090.0,2.0,31.48,2,2888.0733944954127
1628,Bommasandra Industrial Area,1400.0,2.0,40.44,3,2888.5714285714284
1629,Bommasandra Industrial Area,1320.0,2.0,38.13,3,2888.636363636364
1631,Bommasandra Industrial Area,1020.0,2.0,29.45,2,2887.2549019607845
1632,Bommasandra Industrial Area,1165.0,2.0,33.64,2,2887.5536480686696
1633,Bommasandra Industrial Area,1090.0,2.0,31.48,2,2888.0733944954127
1635,Bommasandra Industrial Area,1000.0,2.0,28.88,2,2888.0
1636,Bommasandra Industrial Area,1020.0,2.0,29.45,2,2887.2549019607845
1637,Bommasandra Industrial Area,1160.0,2.0,33.51,2,2888.793103448276
1638,Bommasandra Industrial Area,1125.0,2.0,32.49,2,2888.0
1641,Bommasandra Industrial Area,1125.0,2.0,32.49,2,2888.0
1642,Bommasandra Industrial Area,1130.0,2.0,32.64,2,2888.495575221239
1643,Bommasandra Industrial Area,1065.0,2.0,30.75,2,2887.323943661972
1644,Bommenahalli,1200.0,3.0,125.0,3,10416.666666666666
1645,Bommenahalli,1632.0,3.0,145.0,4,8884.803921568628
1646,Bommenahalli,1670.0,3.0,135.0,4,8083.832335329342
1647,Bommenahalli,1680.0,3.0,135.0,4,8035.714285714285
1648,Bommenahalli,1632.0,3.0,128.0,4,7843.137254901961
1649,Bommenahalli,3339.0,3.0,250.0,3,7487.271638215035
1650,Bommenahalli,1355.0,3.0,135.0,4,9963.09963099631
1651,Bommenahalli,1232.0,3.0,96.0,3,7792.207792207792
1652,Bommenahalli,1632.0,3.0,140.0,4,8578.43137254902
1653,Brindavan Layout,2200.0,2.0,150.0,4,6818.181818181818
1654,Brindavan Layout,1100.0,2.0,38.68,2,3516.3636363636365
1655,Brindavan Nagar,1520.0,3.0,111.0,3,7302.631578947368
1656,Brindavan Nagar,1280.0,2.0,90.0,2,7031.25
1657,Brooke Bond First Cross,1275.0,2.0,69.0,2,5411.764705882353
1658,Brooke Bond First Cross,1721.0,3.0,93.0,3,5403.834979662986
1659,Brooke Bond First Cross,1720.0,3.0,95.0,3,5523.2558139534885
1660,Brookefield,1150.0,2.0,69.0,2,6000.0
1661,Brookefield,1142.0,2.0,70.0,2,6129.5971978984235
1665,Brookefield,2800.0,4.0,240.0,4,8571.42857142857
1666,Brookefield,1476.0,3.0,105.0,3,7113.821138211382
1667,Brookefield,1700.0,4.0,152.0,4,8941.176470588236
1668,Brookefield,1262.0,2.0,75.0,2,5942.947702060222
1669,Brookefield,1139.0,2.0,80.0,2,7023.705004389815
